candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
0.0,P80006117,Klobuchar,"KLOBUCHAR, AMY J.",DEM,47746.78,P,C00696419,AMY FOR AMERICA,P,0.0,50705875.48,2020,0.0,0.0,0.0,48826591.43,52421962.66,1095085.07,51798765.65,2305.0,17701.48,0.0,0.0,0.0,52.4,1052108.47,0.0,3575275.0,1668340.4
0.0,P40002347,Edwards,"EDWARDS, JOHN",DEM,4433424.13,P,C00431205,JOHN EDWARDS FOR PRESIDENT,P,3575.25,44283815.7,2008,176298.09,12882863.58,3746635.0,35678618.65,48717239.83,1245256.83,41605871.6,267.84,0.0,0.0,0.0,8986953.37,48.7,3769970.87,8986953.37,0.0,0.0
0.0,P60006723,Rubio,"RUBIO, MARCO",REP,112614.3,P,C00458844,MARCO RUBIO FOR PRESIDENT,P,1197657.12,46059680.15,2016,0.0,0.0,0.0,40527119.08,42106430.38,458414.46,46513094.61,5000.0,4430.75,101.68,0.0,0.0,42.1,4849071.15,0.0,182151.58,0.0
30717835.48,P40011082,Ramaswamy,"RAMASWAMY, VIVEK",REP,9944.18,P,C00833913,VIVEK 2024,P,24018187.5,41828398.51,2024,0.0,0.0,0.0,11093741.06,41838342.69,205544.51,42029543.02,4400.0,12800.0,0.0,0.0,0.0,41.8,114183.27,0.0,0.0,0.0
0.0,P00009423,Harris,"HARRIS, KAMALA D.",DEM,250163.26,P,C00694455,KAMALA HARRIS FOR THE PEOPLE,P,90130.84,41017526.83,2020,0.0,0.0,0.0,38069857.04,41305690.09,311822.11,41081284.98,248063.96,96300.12,0.0,0.0,0.0,41.3,1463473.28,0.0,2651337.47,38000.0
0.0,P80000748,Paul,"PAUL, RON",REP,1091927.37,P,C00495820,RON PAUL 2012 PRESIDENTIAL CAMPAIGN COMMITTEE INC. ,P,0.0,39533148.05,2012,0.0,0.0,0.0,39615687.59,40625075.42,124869.49,39617894.54,40123.0,2670.26,0.0,0.0,0.0,40.6,310372.83,0.0,1000500.0,0.0
6000.0,P00006486,Yang,"YANG, ANDREW",DEM,214312.83,P,C00659938,FRIENDS OF ANDREW YANG,P,2010.0,40297559.2,2020,0.0,0.0,0.0,38979885.98,40186590.97,162454.79,40378013.99,82000.0,4345.64,0.0,48000.0,0.0,40.2,2210100.88,48000.0,0.0,0.0
0.0,P80000748,Paul,"PAUL, RON",REP,578967.2,P,C00432914,RON PAUL 2008 PRESIDENTIAL CAMPAIGN COMMITTEE,P,0.0,30455936.25,2008,0.0,0.0,0.0,34336169.38,34534903.45,283690.97,30739627.22,0.0,18332.31,0.0,0.0,0.0,34.5,303265.74,0.0,0.0,3500000.0
795703.65,P60008059,Bush,"BUSH, JEB",REP,55306.05,P,C00579458,"JEB 2016, INC.",P,0.0,34033277.23,2016,0.0,0.0,0.0,32998954.58,34088583.28,778908.9,34811654.13,532.0,196717.05,0.0,0.0,0.0,34.1,623699.3,0.0,0.0,0.0
0.0,P40013039,DeSantis,"DESANTIS, RON",REP,979089.83,P,C00841130,RON DESANTIS FOR PRESIDENT,P,1134.79,29530876.85,2024,0.0,0.0,0.0,26192639.07,31456928.55,1005828.3,30526705.15,10000.0,49797.02,0.0,0.0,0.0,31.5,7115030.06,0.0,5213592.46,946961.87
0.0,P00009795,Booker,"BOOKER, CORY A.",DEM,53630.33,P,C00695510,CORY 2020,P,785889.53,25137704.5,2020,0.0,0.0,0.0,22314291.59,25409090.86,168686.94,25302896.34,3495.1,159679.94,0.0,0.0,0.0,25.4,507396.32,0.0,2740000.0,217756.03
0.0,P60003654,Gingrich,"GINGRICH, NEWT",REP,75564.37,P,C00496497,NEWT 2012,P,4863036.33,24018523.14,2012,0.0,0.0,0.0,23334927.82,24094087.51,206645.98,24225169.12,0.0,74323.45,5000.0,0.0,0.0,24.1,675386.97,0.0,7684.51,0.0
