action_code,action_code_full,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_full,candidate_office_state,committee_id,committee_name,communication_class,communication_type,communication_type_full,cycle,file_number,form_type_code,image_number,original_sub_id,pdf_url,primary_general_indicator,primary_general_indicator_description,purpose,report_type,report_year,schedule_type,schedule_type_full,state_full,sub_id,support_oppose_indicator,tran_id,transaction_amount,transaction_date,transaction_type
A,ADD,,H8IN09032,,,"HILL,",H,9,HOUSE,IN,C70000112,AFL-CIO ,M,TP,,2008,421276.0,F7,28039892186,,https://docquery.fec.gov/pdf/186/28039892186/28039892186.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,INDIANA,2062620091115894558,S,F760623082708148,187.0,2008-10-04,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,WALKS,2008,421276.0,F7,28039892186,,https://docquery.fec.gov/pdf/186/28039892186/28039892186.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894575,S,F760623082708165,21.0,2008-10-04,24F
A,ADD,,S6LA00227,,,"LANDREIU,",S,,SENATE,LA,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892187,,https://docquery.fec.gov/pdf/187/28039892187/28039892187.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,LOUISIANA,2062620091115894614,S,F760623082708204,50.0,2008-10-06,24F
A,ADD,,S6LA00227,,,"LANDREIU,",S,,SENATE,LA,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892187,,https://docquery.fec.gov/pdf/187/28039892187/28039892187.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,LOUISIANA,2062620091115894629,S,F760623082708219,111.0,2008-10-06,24F
A,ADD,,P80003338,,,"OBAMA,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892188,,https://docquery.fec.gov/pdf/188/28039892188/28039892188.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,,2062620091115894637,S,F760623082708227,90.0,2008-10-06,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892188,,https://docquery.fec.gov/pdf/188/28039892188/28039892188.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894644,S,F760623082708234,156.0,2008-10-06,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892189,,https://docquery.fec.gov/pdf/189/28039892189/28039892189.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894670,S,F760623082708260,29.0,2008-10-06,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892189,,https://docquery.fec.gov/pdf/189/28039892189/28039892189.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894678,S,F760623082708268,29.0,2008-10-06,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892189,,https://docquery.fec.gov/pdf/189/28039892189/28039892189.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894696,S,F760623082708286,29.0,2008-10-06,24F
A,ADD,,S2NJ00080,,,"LAUTENBERG,",S,,SENATE,NJ,C70000112,AFL-CIO ,M,O,FLIERS,2008,421276.0,F7,28039892190,,https://docquery.fec.gov/pdf/190/28039892190/28039892190.pdf,G,GENERAL,MEMBERS,12G,2008,F76,FOR EACH COMMUNICATION,NEW JERSEY,2062620091115894716,S,F760623082708306,39.0,2008-10-06,24F
